seriesID       ,area_code,item_code,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
APU0000701111,0,701111,"Flour, white, all purpose, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000701311,0,701311,"Rice, white, long grain, precooked (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1981,M12
APU0000701312,0,701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000701321,0,701321,"Spaghetti (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1981,M03
APU0000701322,0,701322,"Spaghetti and macaroni, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1984,M01,2021,M10
APU0000702111,0,702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000702112,0,702112,"Bread, French, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2016,M09
APU0000702211,0,702211,"Bread, rye, pan (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1981,M12
APU0000702212,0,702212,"Bread, whole wheat, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000702213,0,702213,"Bread, wheat blend, pan (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1981,M12
APU0000702221,0,702221,"Rolls, hamburger (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1984,M09
APU0000702411,0,702411,"Cupcakes, chocolate (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1986,M12
APU0000702421,0,702421,"Cookies, chocolate chip, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000702611,0,702611,"Crackers, soda, salted, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2000,M10
APU0000703111,0,703111,"Ground chuck, 100% beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000703112,0,703112,"Ground beef, 100% beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1984,M01,2021,M10
APU0000703113,0,703113,"Ground beef, lean and extra lean, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2021,M10
APU0000703211,0,703211,"Chuck roast, USDA Choice, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1996,M08
APU0000703212,0,703212,"Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2017,M12
APU0000703213,0,703213,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1989,M01,2021,M10
APU0000703311,0,703311,"Round roast, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000703312,0,703312,"Round roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2014,M07
APU0000703411,0,703411,"Rib roast, USDA Choice, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1997,M12
APU0000703421,0,703421,"Steak, chuck, U.S. choice, bone-in (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1987,M05
APU0000703422,0,703422,"Steak, T-Bone, USDA Choice, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2002,M04
APU0000703423,0,703423,"Steak, porterhouse, U.S. choice, bone-in (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1986,M12
APU0000703425,0,703425,"Steak, rib eye, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2001,M10
APU0000703431,0,703431,"Short ribs, any primal source, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2011,M05
APU0000703432,0,703432,"Beef for stew, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2021,M10
APU0000703511,0,703511,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000703512,0,703512,"Steak, round, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2019,M04
APU0000703611,0,703611,"Steak, sirloin, USDA Choice, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1994,M04
APU0000703612,0,703612,"Steak, sirloin, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2018,M03
APU0000703613,0,703613,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1989,M01,2021,M10
APU0000704111,0,704111,"Bacon, sliced, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000704211,0,704211,"Chops, center cut, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000704212,0,704212,"Chops, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2021,M10
APU0000704311,0,704311,"Ham, rump or shank half, bone-in, smoked,per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2016,M06
APU0000704312,0,704312,"Ham, boneless, excluding canned, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,2021,M10
APU0000704313,0,704313,"Ham, rump portion, bone-in, smoked (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1983,M03
APU0000704314,0,704314,"Ham, shank portion, bone-in, smoked (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1982,M07
APU0000704321,0,704321,"Ham, canned, 3 or 5 lbs, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1992,M11
APU0000704411,0,704411,"Pork shoulder roast, blade boston, bone-in (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1981,M12
APU0000704412,0,704412,"Pork sirloin roast, bone-in (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1987,M07
